symbol,weight_percent,name,instrument_key
HDFCBANK,11.181371,HDFC Bank Limited,NSE_EQ|INE040A01034
ICICIBANK,9.013349,ICICI Bank Limited,NSE_EQ|INE090A01021
RELIANCE,7.999599,Reliance Industries Limited,NSE_EQ|INE002A01018
BHARTIARTL,5.149051,Bharti Airtel Limited,NSE_EQ|INE397D01024
LT,4.436415,Larsen & Toubro Limited,NSE_EQ|INE018A01030
SBIN,3.884372,State Bank of India,NSE_EQ|INE062A01020
AXISBANK,3.533072,Axis Bank Limited,NSE_EQ|INE238A01034
INFY,3.211884,Infosys Limited,NSE_EQ|INE009A01021
KOTAKBANK,2.639767,Kotak Mahindra Bank Limited,NSE_EQ|INE237A01036
ITC,2.529359,ITC Limited,NSE_EQ|INE154A01025
M&M,2.509284,Mahindra & Mahindra Limited,NSE_EQ|INE101A01026
BAJFINANCE,2.469136,Bajaj Finance Limited,NSE_EQ|INE296A01032
TCS,1.897019,Tata Consultancy Services Limited,NSE_EQ|INE467B01029
SUNPHARMA,1.806685,Sun Pharmaceutical Industries Limited,NSE_EQ|INE044A01036
ETERNAL,1.746462,Eternal Limited,NSE_EQ|INE758T01015
HINDUNILVR,1.716350,Hindustan Unilever Limited,NSE_EQ|INE030A01027
MARUTI,1.686239,Maruti Suzuki India Limited,NSE_EQ|INE585B01010
TITAN,1.666165,Titan Company Limited,NSE_EQ|INE280A01028
NTPC,1.545719,NTPC Limited,NSE_EQ|INE733E01010
TATASTEEL,1.425274,Tata Steel Limited,NSE_EQ|INE081A01020
BEL,1.344976,Bharat Electronics Limited,NSE_EQ|INE263A01024
SHRIRAMFIN,1.334939,Shriram Finance Limited,NSE_EQ|INE721A01047
HINDALCO,1.264679,Hindalco Industries Limited,NSE_EQ|INE038A01020
ADANIPORTS,1.224531,Adani Ports and Special Economic Zone Limited,NSE_EQ|INE742F01042
ULTRACEMCO,1.214494,UltraTech Cement Limited,NSE_EQ|INE481G01011
POWERGRID,1.184382,Power Grid Corporation of India Limited,NSE_EQ|INE752E01010
INDIGO,1.114122,InterGlobe Aviation Limited,NSE_EQ|INE646L01027
ASIANPAINT,1.094048,Asian Paints Limited,NSE_EQ|INE021A01026
GRASIM,1.073974,Grasim Industries Limited,NSE_EQ|INE047A01021
JSWSTEEL,1.053899,JSW Steel Limited,NSE_EQ|INE019A01038
HCLTECH,1.033825,HCL Technologies Limited,NSE_EQ|INE860A01027
TRENT,1.003714,Trent Limited,NSE_EQ|INE849A01020
BAJAJ-AUTO,0.983639,Bajaj Auto Limited,NSE_EQ|INE917I01010
COALINDIA,0.963565,Coal India Limited,NSE_EQ|INE522F01014
BAJAJFINSV,0.943491,Bajaj Finserv Limited,NSE_EQ|INE918I01026
NESTLEIND,0.923417,Nestle India Limited,NSE_EQ|INE239A01024
EICHERMOT,0.893305,Eicher Motors Limited,NSE_EQ|INE066A01021
ONGC,0.833082,Oil & Natural Gas Corporation Limited,NSE_EQ|INE213A01029
APOLLOHOSP,0.813008,Apollo Hospitals Enterprise Limited,NSE_EQ|INE437A01024
TECHM,0.813008,Tech Mahindra Limited,NSE_EQ|INE669C01036
ADANIENT,0.802971,Adani Enterprises Limited,NSE_EQ|INE423A01024
MAXHEALTH,0.772860,Max Healthcare Institute Limited,NSE_EQ|INE027H01010
DRREDDY,0.752785,Dr. Reddy's Laboratories Limited,NSE_EQ|INE089A01031
CIPLA,0.752785,Cipla Limited,NSE_EQ|INE059A01026
SBILIFE,0.722674,SBI Life Insurance Company Limited,NSE_EQ|INE123W01016
JIOFIN,0.712637,Jio Financial Services Limited,NSE_EQ|INE758E01017
TMPV,0.672488,Tata Motors Passenger Vehicles Limited,NSE_EQ|INE155A01022
TATACONSUM,0.642377,Tata Consumer Products Limited,NSE_EQ|INE192A01025
HDFCLIFE,0.562080,HDFC Life Insurance Company Limited,NSE_EQ|INE795G01014
WIPRO,0.451673,Wipro Limited,NSE_EQ|INE075A01022
